pubmed_id	size	cl_id	Comment	Intact?
33961781	166751		Bioplex	
28514442	57894		Pre-bioplex	
26496610	15787	CVCL_0030		
32707033	7488	CVCL_0063		
35384245	6383	CVCL_0063		
29568061	6057		Multiple	
26638075	5524	CVCL_0063		
31980649	4677		HCT116_and_HKE	
21145461	4260	CVCL_0063		
25609649	3377	CVCL_0063		x
36012204	3118	CVCL_0045		
20562859	3073	CVCL_0063		x
25036637	2103	CVCL_0063		x
29128334	1978	CVCL_0063	for ap/ip	
31046837	1799	CVCL_0063		
34524948	1675	CVCL_0063		
19615732	1553	CVCL_0063		
27173435	1403	CVCL_0063		
36950384	1361		iN	
30194290	1242	CVCL_0063		
31015422	1044	CVCL_0063
35140242	0	CVCL_0063	Manual
31617661	0	CVCL_0063	Manual
35063084	0		iN/Manual
37207277	0		iN/Manual
28298427	1023	yeast
34882091	999	CVCL_0063		
31403225	870	CVCL_0063		
26618866	863	CVCL_HL93		
26972000	817	CVCL_0063		
34591642	771	CVCL_0063		
29426014	704	CVCL_0019		
29656893	694		Multiple	
29507755	664	CVCL_0030		
20936779	639 	yeast
25798074	620	CVCL_0063		
32960270	603	CVCL_0030		
34591612	591		Multiple	
28666119	554	CVCL_0063		
34816099	523		NPCs	
25665578	516		Multiple	
34819669	470		Bioplex	
22939624	455	CVCL_0063		
35156780	435	CVCL_0063		
20926688	409		Multiple	
23752268	407		CEM T cell	
26949251	406	CVCL_0042		
25959826	374	CVCL_0063		
32552912	373	CVCL_0063	Theres yeast to	
22119785	337		Unclear	
28065597	332		MYTH/MaMTH	
37725512	324	CVCL_0063		
30108113	317	CVCL_0063		
25702638	315	CVCL_C202		
19690564	313		yeast	
26752685	308	CVCL_0045		
29021621	305	CVCL_0042		
20360068	297	CVCL_0030		
35800763	288		GBM cells
34316702	288		GBM cells
23667531	287	CVCL_1167	DAOY
32774160	284	CVCL_0504		
22453275	279	CVCL_0063	Mitochondria isolate	
26030842	270		BiFC CVCL_0045	
19596235	251	CVCL_0063		
25277244	241	CVCL_0035		
31665741	234	CVCL_4388		
26686862	229		Multiple	
20186120	221	CVCL_0063	Mitochondria isolate	
34901782	221	CVCL_0063		
32541000	218	CVCL_0063		
32900848	212		Multiple	
33640491	195	CVCL_4744		
27229929	195		yeast	
29467281	184	CVCL_0030		
17500595	181		“Human tissue”	
21565611	167		Multiple	
21729782	161		HEK293T and HeLa	
23022380	161		Mutiple T cell lines	
32368190	159	CVCL_0063		
26929214	159	CVCL_0030		
29298432	147	CVCL_0063		
24947832	146	CVCL_0063	For IP-MS	
37172566	142			
25561175	141			
25107275	139			
25920683	139			
30126976	138			
37219487	129			
26714646	124			
26382858	124			
33144569	122			
26420826	120			
29858488	119			
27460707	111			
31240132	106			
36373674	104			
32101751	102			
20000738	101			
20098747	100			
29997244	99			
18729074	97			
23764002	92			
22863774	88			
24606901	82			
25825872	79			
21858095	79			
25593058	78			
31412244	78			
20601937	73			
18922472	73			
27505670	72			
31467278	72			
25036101	69			
23870121	68			
20869947	66			
24980502	63			
27153538	59			
24882805	58			
28734904	57			
23178491	56			
33106485	54			
34927784	54			
32073997	53			
26297806	53			
32226298	51			
26617989	51			
19807924	50			
27812135	49			
24267889	49			
30845169	47			
20153263	44			
30024968	43			
22500027	43			
23572552	43			
20864041	42			
26370502	42			
25355947	42			
32433612	41			
27142060	40			
30914516	40			
16263121	39			
21799911	39			
23995757	38			
35452674	38			
25187624	38			
27478939	36			
24056303	36			
36414381	35			
25567906	35			
21360678	35			
31759698	35			
24421332	35			
30456273	34			
28977666	34			
30914652	34			
25519132	33			
23353889	33			
21311754	32			
28178521	32			
28199315	32			
29789297	32			
29666759	31			
18281698	31			
23540691	30			
26259872	30			
19636380	30			
29420262	29			
20178742	29			
25820252	29			
20098423	28			
27569582	28			
21255825	28			
28436967	26			
36233334	26			
28683311	26			
22632967	25			
25263562	25			
36266428	25			
24642916	25			
20708156	25			
20596027	25			
23091066	25			
23871696	25			
19410543	24			
28947780	24			
24141787	24			
32769987	23			
32867128	23			
25117710	22			
23242214	22			
33548203	22			
18628297	22			
27932497	22			
18794151	22			
20676093	21			
20417604	21			
29691401	21			
25686248	21			
24785657	21			
25594178	20			
21931591	20			
29719613	20			
27956147	20			
23085988	20			
27918561	20			
18694559	20			
22829933	20			
23956175	20			
26972053	19			
27224062	19			
19410544	19			
25751139	19			
37595036	19			
22863007	19			
33422265	19			
23622242	19			
27281218	19			
23866081	19			
26492563	19			
28422092	18			
23746844	18			
27334615	18			
23236378	18			
24358021	18			
20543829	18			
21983832	17			
22540012	17			
17986458	17			
19032343	17			
24608264	17			
22770219	16			
19478851	16			
22094255	16			
23868260	16			
19716330	16			
27332895	16			
19179534	16			
19446321	16			
18309296	16			
20381137	16			
23079660	15			
21072240	15			
24360279	15			
29789392	15			
24417819	15			
30889214	15			
20406461	15			
35177536	14			
23804756	14			
21278163	14			
23933751	14			
21146485	14			
24089205	14			
24013648	14			
24034250	14			
23954414	14			
25737013	14			
29774127	14			
20130577	14			
22466964	13			
24997597	13			
21103407	13			
18286207	13			
20123736	13			
26545777	13			
15105431	13			
22340593	13			
21804599	13			
25383541	13			
21723284	13			
28698298	13			
18617507	13			
26902720	13			
18647389	13			
25467444	12			
22110403	12			
18458160	12			
24581491	12			
18614045	12			
23075851	12			
22014570	12			
18942891	12			
27135603	12			
15824131	12			
24510189	12			
24997600	12			
20541477	12			
24244371	12			
26524528	11			
23643389	11			
24725409	11			
20808760	11			
19596236	11			
24651726	11			
25470060	11			
12223483	11			
22113614	11			
24005329	11			
26751069	11			
32647223	11			
22529269	11			
21625211	11			
19118383	11			
26751287	11			
28255170	11			
19407811	11			
19234442	11			
23169578	11			
38057879	10			
21620138	10			
22897849	10			
21988832	10			
22784633	10			
23396353	10			
18583988	10			
18312651	10			
21145460	10			
21132010	10			
19934264	10			
25866880	10			
20562857	10			
33174841	10			
20418871	10			
20208519	10			
12486103	10			
33376131	10			
20890303	10			
24282027	10			
23708001	10			
21241894	10			
19798101	10			
24362629	10			
17913746	10			
25503564	10			
25203322	10			
25064736	10			
25535969	10			
20434986	9			
28988771	9			
11285285	9			
23145062	9			
23245941	9			
19234465	9			
18724357	9			
19171758	9			
23737971	9			
20473970	9			
16775625	9			
22195968	9			
36204728	9			
24116158	9			
23791178	9			
16282588	9			
24316715	9			
22632968	9			
21629692	9			
20037584	9			
29734338	9			
26237645	9			
29748336	9			
30367041	9			
25775403	9			
24725430	9			
24667498	9			
19524513	9			
19934020	9			
20920251	9			
24554770	9			
19732724	9			
26258633	9			
19571879	9			
21170087	9			
26649820	9			
29433439	9			
19345329	9			
31695625	9			
21946559	8			
21968188	8			
11684708	8			
10831594	8			
25446900	8			
22327296	8			
30282023	8			
30413785	8			
20581830	8			
20154270	8			
24670654	8			
20664520	8			
21179510	8			
19798056	8			
20826342	8			
27905398	8			
26807646	8			
27995898	8			
19468300	8			
23541952	8			
28813410	8			
21293379	8			
23314863	8			
22916032	8			
21483817	8			
22885700	8			
22581261	8			
22014574	8			
11489943	7			
25783203	7			
26365382	7			
22072986	7			
25574025	7			
20168298	7			
21679440	7			
26449471	7			
21642953	7			
20802527	7			
26766587	7			
25344755	7			
26551274	7			
26644512	7			
33727702	7			
20126258	7			
25531779	7			
20393562	7			
24581499	7			
19293187	7			
24509793	7			
24485656	7			
20660480	7			
33112233	7			
19412162	7			
27043084	7			
25043030	7			
26095357	7			
26188084	7			
11564755	7			
34950606	7			
23222540	7			
21185211	7			
29534157	7			
18662541	7			
18835031	7			
31462771	7			
15796781	7			
21118991	7			
23543754	7			
18447585	7			
18320024	7			
21455181	7			
16461343	7			
19145258	7			
28445460	7			
28506294	7			
22581055	7			
24076656	7			
15862129	7			
23082202	7			
21376238	7			
23518351	7			
23209657	7			
23142979	7			
29778605	7			
17511879	7			
26022416	7			
19345326	6			
20701745	6			
27455421	6			
24434208	6			
19360002	6			
22439934	6			
19458619	6			
26373281	6			
22021614	6			
9763420	6			
11927608	6			
20035625	6			
25751140	6			
25637025	6			
10956646	6			
24630722	6			
20604745	6			
20541704	6			
22078885	6			
25438055	6			
24849286	6			
24879152	6			
19893491	6			
21577200	6			
21242980	6			
21240272	6			
21187329	6			
29410696	6			
29340707	6			
23818254	6			
28546555	6			
28564608	6			
22575647	6			
16043514	6			
15890777	6			
27629921	6			
24065129	6			
22802125	6			
23518348	6			
23316280	6			
23285124	6			
23251006	6			
30337686	6			
23112296	6			
30285739	6			
23394946	6			
16682412	6			
30983867	6			
25938661	6			
25873176	6			
35107372	6			
11948183	6			
21822258	6			
21903581	6			
21909281	6			
21931555	6			
10791955	5			
10831611	5			
34799561	5			
25609694	5			
19762597	5			
23086448	5			
21399666	5			
16545136	5			
19492042	5			
25445562	5			
19534813	5			
19543227	5			
14645241	5			
26586190	5			
26766590	5			
25225338	5			
20346720	5			
26769854	5			
26899996	5			
20562916	5			
16856878	5			
17158164	5			
22817896	5			
22829078	5			
23051622	5			
31273097	5			
30488537	5			
30510991	5			
20802534	5			
24759320	5			
19442657	5			
32726168	5			
22284051	5			
22470507	5			
22479149	5			
19487689	5			
27334688	5			
21217703	5			
23371553	5			
16569639	5			
24344185	5			
20818423	5			
20826341	5			
21059844	5			
21072212	5			
24163410	5			
28160558	5			
19095693	5			
16000169	5			
22587461	5			
23973223	5			
20951943	5			
23610558	5			
23636329	5			
28619714	5			
29146910	5			
29263200	5			
23799367	5			
31481669	5			
31875558	5			
21624135	5			
22726440	5			
25753001	5			
25601757	5			
35273242	5			
21880142	5			
34552057	5			
21978998	4			
26221972	4			
21951725	4			
21826244	4			
21625644	4			
21151116	4			
19934257	4			
19914168	4			
35637966	4			
21278383	4			
15855171	4			
26280537	4			
19135889	4			
20817927	4			
20818375	4			
28319063	4			
21063388	4			
24397932	4			
23332761	4			
24243016	4			
27728806	4			
20843328	4			
20856196	4			
16802858	4			
17785517	4			
23725059	4			
23686307	4			
23680104	4			
20951947	4			
23949442	4			
32606738	4			
18559666	4			
18538670	4			
28388406	4			
23582325	4			
23523103	4			
18560563	4			
18775314	4			
18716620	4			
28536627	4			
28862946	4			
16254079	4			
25363763	4			
22140357	4			
22266823	4			
34189428	4			
19632185	4			
20110348	4			
21407215	4			
26496921	4			
26431330	4			
31262713	4			
16520382	4			
31210752	4			
25558984	4			
21346760	4			
21331046	4			
21701560	4			
21685886	4			
22078878	4			
11739404	4			
9334338	4			
34695163	4			
11076969	4			
11268000	4			
26348909	4			
26331536	4			
26302407	4			
19751731	4			
31031754	4			
20141835	4			
22912825	4			
23023224	4			
33053355	4			
32938453	4			
27065097	4			
24981741	4			
20622899	4			
25026211	4			
31361762	4			
23217706	4			
20622854	4			
20375098	4			
26783301	4			
26829474	4			
22484091	4			
33372174	4			
22404908	4			
22323517	4			
20693977	4			
20671708	4			
20624308	4			
24656772	4			
19486527	4			
24618592	4			
33495715	4			
19468302	4			
22399800	4			
19249679	4			
19176810	4			
19249086	4			
20871616	4			
21242966	4			
29540185	4			
17620405	4			
17967441	3			
27601169	3			
24614691	3			
24485452	3			
20832753	3			
24291004	3			
19060883	3			
32575403	3			
19036992	3			
28068668	3			
24145797	3			
24209620	3			
24094005	3			
24025841	3			
24013206	3			
21048939	3			
16415179	3			
21552258	3			
29281743	3			
18762581	3			
28716842	3			
28891236	3			
23698369	3			
29339503	3			
23644468	3			
23664119	3			
21073465	3			
19158675	3			
23995768	3			
20937695	3			
19155274	3			
32640219	3			
28480349	3			
29386406	3			
25764135	3			
26131937	3			
34637754	3			
26197342	3			
21962512	3			
21847096	3			
25600339	3			
21986944	3			
19956565	3			
26065921	3			
22022230	3			
22020283	3			
35078919	3			
12847090	3			
19732720	3			
25753662	3			
22660330	3			
19903340	3			
19966799	3			
15630084	3			
23604122	3			
11916981	3			
22722849	3			
22728435	3			
31640277	3			
22705208	3			
32079660	3			
31653868	3			
23770565	3			
24735925	3			
26787466	3			
27027284	3			
26950892	3			
26836588	3			
31379806	3			
23178883	3			
17280616	3			
16839418	3			
24880667	3			
27098453	3			
19369943	3			
24823443	3			
24737000	3			
24814347	3			
24814348	3			
24970086	3			
22312431	3			
19411070	3			
21242965	3			
19255092	3			
27451907	3			
17612402	3			
29541021	3			
21277283	3			
17626041	3			
19158676	3			
24670641	3			
12855700	3			
29675578	3			
14739298	3			
21743479	3			
26567527	3			
25487150	3			
26439010	3			
25533949	3			
14506250	3			
20126263	3			
19503796	3			
25531777	3			
25360523	3			
21725360	3			
34386498	3			
34341353	3			
33895773	3			
15345710	3			
15314656	3			
15037601	3			
21398607	3			
21725358	3			
21814512	3			
25616068	3			
30631038	3			
21407176	3			
30894749	3			
30765471	3			
30668577	3			
36321378	3			
22039351	3			
22057290	3			
22078880	3			
21685939	3			
37340443	3			
11257119	3			
10747088	3			
10415025	2			
37926298	2			
11024045	2			
9473338	2			
35810171	2			
37248947	2			
22266820	2			
22164301	2			
22130794	2			
22116401	2			
21798038	2			
34158475	2			
34117209	2			
34031383	2			
25789606	2			
19684601	2			
19680552	2			
19675569	2			
19665976	2			
26267537	2			
26267535	2			
26228159	2			
33947832	2			
15556604	2			
15328537	2			
15242778	2			
15109305	2			
22416134	2			
22401567	2			
26431207	2			
26389665	2			
19837035	2			
25714926	2			
25642963	2			
20169165	2			
20144646	2			
19907493	2			
22386318	2			
22363216	2			
33110251	2			
33097660	2			
33061433	2			
33060591	2			
32953130	2			
32644293	2			
21533037	2			
25327252	2			
25307056	2			
25180228	2			
25170085	2			
19635168	2			
19564354	2			
19525971	2			
25500533	2			
25394790	2			
24976139	2			
20553494	2			
26977879	2			
26950370	2			
26894577	2			
26814970	2			
20386726	2			
20211137	2			
21423167	2			
22582013	2			
22570591	2			
22559944	2			
22508683	2			
15644415	2			
15583694	2			
32514408	2			
32493513	2			
32405532	2			
32366851	2			
22792074	2			
22789536	2			
22768251	2			
20691906	2			
20665473	2			
20638385	2			
27109047	2			
20541701	2			
24937458	2			
24870230	2			
24766807	2			
31988313	2			
31964889	2			
31932617	2			
31511497	2			
23042150	2			
24502362	2			
24493589	2			
20890285	2			
19322197	2			
19290556	2			
27524201	2			
20711181	2			
20708153	2			
22863277	2			
22796965	2			
16982639	2			
16756390	2			
16754960	2			
16638120	2			
21399639	2			
21368882	2			
21357692	2			
21349273	2			
24316673	2			
24316671	2			
28046066	2			
27824081	2			
27733149	2			
27720922	2			
27626412	2			
27599036	2			
31160551	2			
31024008	2			
30613765	2			
30580966	2			
30530698	2			
30518913	2			
23245996	2			
23940795	2			
23937259	2			
19135897	2			
19107194	2			
19081057	2			
18976966	2			
28197073	2			
28054552	2			
24211834	2			
20861307	2			
20819940	2			
24352239	2			
18794899	2			
18660514	2			
28471448	2			
21029865	2			
23954233	2			
21408167	2			
30354839	2			
30241482	2			
30015847	2			
29785119	2			
29758265	2			
18266467	2			
17761676	2			
23520446	2			
23514585	2			
23455607	2			
23449449	2			
23364696	2			
17557078	2			
17443684	2			
29748286	2			
29725819	2			
29657270	2			
18598942	2			
23911321	2			
23871208	2			
23870315	2			
21131967	2			
21119599	2			
29190904	2			
29153328	2			
23565059	2			
18570629	2			
29374162	2			
29361949	2			
29317492	2			
21092281	2			
36396045	2			
11882361	2			
34782627	2			
34706264	2			
34615619	2			
34544279	2			
34471099	2			
21871133	2			
36833176	2			
36739428	2			
21718540	2			
25860027	2			
25851604	2			
35167623	2			
35075101	2			
12616539	2			
12421467	2			
12151104	2			
36604718	1			
12473693	1			
34914033	1			
35657344	1			
20075868	1			
20078863	1			
25837623	1			
25848931	1			
25873175	1			
21931826	1			
21957239	1			
34487793	1			
11713253	1			
11864996	1			
21278420	1			
23658700	1			
23706739	1			
29391048	1			
29455656	1			
18518979	1			
23584453	1			
21203429	1			
21242970	1			
21247419	1			
28777872	1			
29083416	1			
21179087	1			
21184734	1			
23752197	1			
23760478	1			
23782464	1			
23850221	1			
23935490	1			
29734393	1			
17620407	1			
23352416	1			
23377543	1			
23474713	1			
23498974	1			
23503662	1			
17693435	1			
18256700	1			
30102379	1			
30245403	1			
23142980	1			
23144622	1			
23966832	1			
23995758	1			
20924358	1			
20930847	1			
20935634	1			
20940394	1			
28507509	1			
28611246	1			
18622013	1			
18724935	1			
18852879	1			
24086303	1			
24135280	1			
24217340	1			
18923419	1			
23153539	1			
23217712	1			
23273425	1			
23286197	1			
30530185	1			
30842726	1			
23101630	1			
23103865	1			
21316606	1			
24568222	1			
27577074	1			
27621415	1			
27773430	1			
27829229	1			
27901063	1			
27927196	1			
24237704	1			
16847455	1			
17254575	1			
22801493	1			
22885324	1			
22905162	1			
22921828	1			
20704562	1			
27265506	1			
19233177	1			
19274086	1			
20877282	1			
24394384	1			
24515439	1			
24555568	1			
22952044	1			
23023393	1			
23064648	1			
31435016	1			
31969820	1			
21621563	1			
22634751	1			
22648170	1			
22710124	1			
22726442	1			
22751141	1			
25077178	1			
25135833	1			
24835508	1			
24882516	1			
27043296	1			
27086836	1			
27126989	1			
19454348	1			
32172343	1			
15893313	1			
20231380	1			
26779609	1			
26853155	1			
26872069	1			
26900326	1			
20581824	1			
20594350	1			
24983867	1			
20541251	1			
19543265	1			
19564905	1			
26656091	1			
25266422	1			
25321483	1			
25353163	1			
21423214	1			
21445305	1			
21459093	1			
21487036	1			
32705708	1			
22270917	1			
22334672	1			
20010814	1			
20010843	1			
20043910	1			
20182505	1			
25653167	1			
25720963	1			
25731175	1			
20526328	1			
22495310	1			
33450483	1			
14707112	1			
14757752	1			
15078903	1			
15328530	1			
33741941	1			
33876849	1			
33972691	1			
25893917	1			
25896326	1			
25915125	1			
25923214	1			
26206935	1			
26226295	1			
19693014	1			
25807284	1			
34237462	1			
34296442	1			
21726810	1			
21765415	1			
22094252	1			
22102817	1			
22153076	1			
22164283	1			
10649446	1			
37511433	1			
10613896	1			
37671092	1			
36357673	1			
11134073	1			
38012669	1			
10880535	1			
